8-secco-prosecco	auc	8 Secco Prosecco	Bouteille / 75cl	9.0		https://www.auchan.fr/8-secco-prosecco/p-c803870		Italie		2015	#	75 CL	https://media1.auchan.fr/images/h93/haa/11188666105886.jpg	
cordon-negro-cava-freixenet-brut-vintage	auc	Cordon Negro Cava Freixenet Brut Vintage	Bouteille / 75cl	8.9		https://www.auchan.fr/cordon-negro-cava-freixenet-brut-vintage/p-c394981		Espagne	Vins et Alcools Divers	2013	Blanc	75 CL	https://media1.auchan.fr/images/hd8/h23/12569678872606.jpg	
henri-obermeyer-cremant-d-alsace	auc	Henri Obermeyer Crémant d'Alsace	Bouteille / 75cl	7.9		https://www.auchan.fr/henri-obermeyer-cremant-d-alsace/p-c858301		Alsace	Crémant d'Alsace		#	75 CL	https://media1.auchan.fr/images/h7b/he8/11743899648030.jpg	
jean-louis-ballarin-cuvee-milady-rose-cremant-de-bordeaux	auc	Jean Louis Ballarin Cuvée Milady Rosé Crémant de Bordeaux	Bouteille / 75cl	6.3	6.79	https://www.auchan.fr/jean-louis-ballarin-cuvee-milady-rose-cremant-de-bordeaux/p-c395938		Bordeaux	Crémant de Bordeaux		Rosé	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
lot-de-3-bouteilles-espagne-teviaco-brut	auc	PACK PROMO Lot de 3 bouteilles Espagne Teviaco Brut	piece / 2.25l	10.5	35.70	https://www.auchan.fr/lot-de-3-bouteilles-espagne-teviaco-brut/p-cl982729		Espagne	Cava - Espagne		Blanc	75 CL	https://media1.auchan.fr/images/hfc/hc2/12791507877918.jpg	
cava-freixenet-methode-traditionnelle-espagnole-cordon-negro-demi-sec	auc	Cava Freixenet Méthode Traditionnelle Espagnole Cordon Negro Demi Sec	Bouteille / 75cl	7.9	11.90	https://www.auchan.fr/cava-freixenet-methode-traditionnelle-espagnole-cordon-negro-demi-sec/p-c395883		Espagne	Cava - Espagne		Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
freixenet-cave-cordon-rosado-brut	auc	Freixenet Cave Cordon Rosado Brut	Bouteille / 75cl	7.9	8.81	https://www.auchan.fr/freixenet-cave-cordon-rosado-brut/p-c850628		Espagne	Cava - Espagne		Rosé	75 CL	https://media1.auchan.fr/images/he8/h3e/12888908431390.jpg	
freixenet-espagne-cava-cordon-negro-2-bouteilles-2-flutes	auc	Freixenet Espagne Cava Cordon Negro 2 Bouteilles + 2 Flûtes	Bouteille / 75cl	14.3	15.90	https://www.auchan.fr/freixenet-espagne-cava-cordon-negro-2-bouteilles-2-flutes/p-c850644		Espagne	Champagne		#	75 CL	https://media1.auchan.fr/images/h89/hc2/12879450701854.jpg	
espagne-teviaco-brut	auc	Espagne Teviaco Brut	Bouteille / 75cl	11.9		https://www.auchan.fr/espagne-teviaco-brut/p-c982727		Espagne	Cava - Espagne		Blanc	75 CL	https://media1.auchan.fr/images/hf2/ha0/12315486552094.jpg	
ruinart-champagne-brut-ruinart-r-de-ruinart	auc	RUINART Champagne Brut Ruinart R de Ruinart	Bouteille / 75cl	44.5		https://www.auchan.fr/ruinart-champagne-brut-ruinart-r-de-ruinart/p-c396350		Champagne	Champagne		Blanc	75 CL	https://media1.auchan.fr/images/hf1/h72/12609160019998.jpg	
taittinger-salmanazar-champagne-taittinger-brut-reserve	auc	TAITTINGER Salmanazar Champagne Taittinger Brut Réserve	Salmanazar / 9l	610.0		https://www.auchan.fr/taittinger-salmanazar-champagne-taittinger-brut-reserve/p-c858512		Champagne	Champagne		Blanc	6 L	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
taittinger-mathusalem-champagne-taittinger-brut-reserve	auc	TAITTINGER Mathusalem Champagne Taittinger Brut Réserve	Mathusalem / 6l	390.0		https://www.auchan.fr/taittinger-mathusalem-champagne-taittinger-brut-reserve/p-c858504		Champagne	Champagne		Blanc	6 L	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
taittinger-balthazar-champagne-taittinger-brut-reserve	auc	TAITTINGER Balthazar Champagne Taittinger Brut Réserve	Balthazar / 12l	870.0		https://www.auchan.fr/taittinger-balthazar-champagne-taittinger-brut-reserve/p-c858513		Champagne	Champagne		Blanc	6 L	https://media1.auchan.fr/images/h41/h07/11443220054046.jpg	
taittinger-nabuchodonosor-champagne-taittinger-brut-reserve	auc	TAITTINGER Nabuchodonosor Champagne Taittinger Brut Réserve	Nabuchodonosor / 15l	1298.0		https://www.auchan.fr/taittinger-nabuchodonosor-champagne-taittinger-brut-reserve/p-c858514		Champagne	Champagne		Blanc	15 L	https://media1.auchan.fr/images/h87/h90/11230901043230.jpg	
taittinger-jeroboam-champagne-taittinger-brut-reserve-3-litres	auc	TAITTINGER Jéroboam Champagne Taittinger Brut Réserve 3 litres	Double Magnum / 3l	195.0		https://www.auchan.fr/taittinger-jeroboam-champagne-taittinger-brut-reserve-3-litres/p-c858499		Champagne	Champagne		Blanc	5 L	https://media1.auchan.fr/images/h5a/h9c/11443213238302.jpg	
moet-et-chandon-magnum-champagne-brut-moet-et-chandon-imperial	auc	MOËT ET CHANDON Magnum Champagne Brut Moët et Chandon Impérial	Magnum / 1.5l	74.9		https://www.auchan.fr/moet-et-chandon-magnum-champagne-brut-moet-et-chandon-imperial/p-c394048					#	#	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
baron-fuente-champagne-brut-baron-fuente-grande-reserve	auc	BARON FUENTE Champagne Brut Baron-Fuenté Grande Réserve	Bouteille / 75cl	18.95		https://www.auchan.fr/baron-fuente-champagne-brut-baron-fuente-grande-reserve/p-c409475		Champagne	Champagne		Blanc	75 CL	https://media1.auchan.fr/images/hd2/h57/12764364603422.jpg	
perrier-jouet-champagne-perrier-jouet-grand-brut	auc	PERRIER-JOUËT Champagne Perrier-Jouët Grand Brut	Bouteille / 75cl	30.1		https://www.auchan.fr/perrier-jouet-champagne-perrier-jouet-grand-brut/p-c394302		Champagne	Champagne		Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
